"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLICEUS","198005","25.334","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198006","22.926","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198007","20.93","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198008","21.116","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198009","20.554","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198010","23.074","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198011","23.911","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198012","25.955","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198013","290.869","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198101","27.21","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198102","25.23","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198103","25.52","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198104","23.645","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198105","21.647","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198106","21.168","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198107","24.69","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198108","24.972","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198109","24.298","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198110","24.425","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198111","24.593","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198112","24.569","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198113","291.968","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198201","24.595","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198202","23.064","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198203","22.189","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198204","20.539","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198205","19.815","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198206","18.501","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198207","17.951","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198208","18.079","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198209","17.318","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198210","18.048","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198211","18.337","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198212","18.512","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198213","236.951","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198301","19.642","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198302","18.257","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
